1	dt	float	s	KEPLER timestep.	
2	jm	integer	1	Number of zones.	
3	dtold	float	s	KEPLER timestep used for the previous cycle.	
4	ncyc	integer	1	KEPLER cycle number.	
5	fcr	float	1	Maximum fractional zonal radius change since the last iteration.	
6	fct	float	1	Maximum fractional zonal temperature change since the last iteration.	
7	iter	integer	1	Number of iterations taken for convergence.	
8	told	float	s	Time at the beginning of the last timestep.	
9	tfcr	float	1	Total maximum fractional zonal radius change during current cycle.	
10	tfct	float	1	Total maximum fractional zonal temperature change during current cycle.	
11	fcl	float	1	Maximum fractional zonal luminosity change since the last iteration.	
12	tfcl	float	1	Total maximum fractional zonal luminosity change since the last iteration.	
13	idtcon	integer	1	Symbol of the ion most limiting the current KEPLER timestep.	
14	imax	integer	1	Total number of ions in the APPROX network (usually 19).	
15	nnet	integer	1	Number of ion networks specified.	
16	numit	integer	1	Total number of ions specified in the generator (usually 19).	
17	totm	float	g	Current total amount of mass in the problem (incl. summ0 (p 61)).	
18	nreac	integer	1	Number of nuclear reactions edited (ions only &#8211; usually 29).	
19	itert	integer	1	Total number of iterations since problem generation.	
20	jfcr	integer	1	Zone with largest fractional radius change since the last iteration.	
21	jfct	integer	1	Zone with largest fractional temperature change since the last iteration.	
22	jfcl	integer	1	Zone with largest fractional luminosity change since the last iteration.	
23	snuc	float	erg/g*s	Current nuclear energy generation rate from last call to subroutine	SDOT.	
24	s0exp	float	1	
25	xlumn	float	erg/s	Neutrino luminosity.	
26	enini	float	erg	Total initial internal energy.	
27	enink	float	erg	Total initial kinetic energy.	
28	eninp	float	erg	Total initial potential energy.	
29	enint	float	erg	Total initial energy \(=\) enini (q 26) \(+\) enink (q 27) \(+\) eninp (q 28).	
30	ensc	float	erg	Total energy deposited so far from input &#8220;source&#8221;.  See xlum0 (p 62).	
31	eni	float	erg	Total internal energy.	
32	enk	float	erg	Total kinetic energy.	
33	enp	float	erg	Total potential energy.	
34	ent	float	erg	Total current energy \(=\) eni (q 31) \(+\) enk (q 32) \(+\) enp (q 33).	
35	epro	float	erg	Total net energy produced so far by nuclear reactions less neutrino losses.	
36	enes	float	erg	Total non-neutrino energy that has so far escaped from the star&#8217;s surface.	
37	enc	float	erg	Energy check.	
38	enscd	float	erg/s	Rate of energy deposition by input &#8220;source&#8221;.  See xlum0 (p 62).	
39	enid	float	erg/s	Rate of change in the total internal energy.	
40	enkd	float	erg/s	Rate of change in the total kinetic energy.	
41	enpd	float	erg/s	Rate of change in the total potential energy.	
42	entd	float	erg/s	Rate of change in the total energy.	
43	eprod	float	erg/s	Total rate of nuclear energy production.	
44	enesd	float	erg/s	Total rate of energy escape from the star (in photons).	
45	encd	float	erg/s	Total rate of change in the energy check.	
46	xlum	float	erg/s	Surface luminosity in electromagnetic radiation (\(\equiv\) enesd).	
47	radius	float	cm	Photospheric radius corresponding to radius with \(2/3\) optical depth.	
48	teff	float	K	Effective surface temperature.	
49	ncycb	integer	1	Current cycle number used by the BURN coprocessor (should be same as ncyc).	
50	ncycbt	integer	1	Number of cycles since BURN co-processing was initiated (usually = ncyc).	
51	nburnz	integer	1	Number of zones co-processed by BURN during current KEPLER cycle.	
52	nburnzt	integer	1	Total number of zones co-processed by BURN since problem generation.	
53	imaxb	integer	1	Number of isotopes in the currently specified BURN network (typically 149).	
54	nnetb	integer	1	Number of specified BURN isotopic networks (usually 1).	
55	numitb	integer	1	Total number of isotopes specified in the BURN generator (typically 149).	
56	jlm	integer	1	Number of zones at the end of the last KEPLER cycle.	
57	jbmax	integer	1	Maximum zone number for which BURN co-processing is now being done.	
58	dtsub	float	1	Length of a BURN co-processing/BURN ion convection subcycle (see nsubcycm (p 264)).	
59	jpist	integer	1	Index of the piston position now being utilized (see Chapter XXX and CYCLE).	
60	jpistm	integer	1	Total number of piston positions specified in the LINK file (see Chapter XXX).	
61	velocty0	float	cm/s	Velocity of inner problem boundary due to specified piston (see Chapt. XXX).	
62	tbounce	float	s	Core bounce time.  Set by the nflux card in the LINK file (See Chapter XXX).	
63	fluxnu0	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
64	fluxnua	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
65	chi0	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
66	fluxnub	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
67	chil	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
68	fluxnuc	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
69	chi2	float	1	Neutrino flux parameter. Set by the nflux card in the LINK file (See Chapter XXX).	
70	nye	integer	1	Index of the LINK-specified Ye now being utilized (see Chapter XXX and subroutine SOOT).	
71	nyem	integer	1	Total number of ye-card-specified \(Y_mathrm{e}\) values in the LINK file (see Chapter XXX).	
