1	dtnew	float	1.	s	Initial or current timestep.	
2	time	float	0.	s	Initial or current time.	
3	extrap	float	1.	-	Extrapolation Parameter used in guessing new R, T, and L values.	
4	q2fac	float	4.	-	Quadratic artificial viscosity (\(q\)) factor.	
5	maxit	integer	40	-	Maximum number of times subroutine regess is called to iterate R, T, and L estimates before the timestep is reduced by dtcut (p 53) and the step repeated (termed a backup).	
6	dtcr	float	0.05	-	Maximum desired fractional change in radius per step.	
7	dtct	float	0.05	-	Maximum desired fractional change in temperature per step.	
8	dtcd	float	0.1	-	Maximum desired fractional change in density per step.	
9	dtcq	float	0.05	-	Maximum desired fractional linear contraction per step.	
10	dtcdt	float	0.99	-	Maximum fractional change in the timestep per step.	
11	fcrmax	float	1.e-6	-	Maximum allowed relative convergence error in radius.	
12	fctmax	float	1.e-6	-	Maximum allowed relative convergence error in temperature.	
13	q1fac	float	0.1	-	Linear artificial viscosity factor.	
14	nstop	integer	100000	-	Maximum number of cycles.	
15	tstop	float	1.e+30	s	Stop time.	
16	nedit	integer	20	-	Number of cycles between ASCII edits.	
17	dtedit	float	0.	s	Time between ASCII edits (0. = \(\infty\)).	
18	ndump	integer	10	-	Number of cycles between restart dumps.	
19	xmlen	float	1.	-	Ratio of the convective mixing length to the pressure scale height.	
20	fudgc	float	0.01	-	Fudge factor for convection (about 0.01).	
21	difim	float	1.	-	Multiplier for the rate of convective mixing.	
22	fcrbu	float	0.01	-	Reduce timestep by dtcut (p 53) and redo step if convergence error in radius is still greater than fcrbu (p 22) after maxit (p 5) iterations.	
23	fctbu	float	0.01	-	Reduce timestep by dtcut (p 53) and redo step if convergence error in temperature is still greater than fctbu (p 23) after maxit (p 5) iterations.	
24	drmult	float	0.1	-	Semi-convective mixing will be slower than thermal transport by at least drmult (p 24) (about 0.1) in zones with mean atomic weight, \(\bar{A}\), is \(\ge\) abarsemi (p 324).	
25	dtmax	float	1.e+99	s	Maximum timestep allowed.	
26	fcrext	float	10.	-	Factor used to reduce noise in radius extrapolation.	
27	fctext	float	10.	-	Factor used to reduce noise in temperature extrapolation.	
28	ipup	integer	1	-	Abundance update parameter.  Update abundances only if ipup (p 28):nath:&#8217;ne&#8217; 0.	
29	xkimt	float	1.	-	Multiplier on IBEN1 opacity.	
30	xk2mt	float	1.	-	Multiplier on IBEN2 opacity.	
31	xk3mt	float	1.	-	Multiplier on Christy opacity.	
32	xk4mt	float	1.	-	Multiplier on Compton opacity.	
33	rxkcmt	float	1.	-	Multiplier on conductive opacity.	
34	pimult	float	1.	-	Ion energy and pressure multiplier.	
35	prmult	float	1.	-	Radiation energy and pressure multiplier.	
36	pemult	float	1.	-	Electron energy and pressure multiplier.	
37	transm	float	1.	-	Multiplier on diffusive heat transport.	
38	timex0	float	-1.e+99	s	Time at which any ni56 present in low temperature regions (as determined by dypmin (p 89) and tnucmin (p 65)) of the star is assumed to have been produced and begun to decay, first to \(^{56}\mathrm{Co}\) and then to \(^{56}\mathrm{Fe}\).	
39	dyemult	float	200.	-	If iytsflag (p 67) \(\ge\) 1, increase the timestep sensitivity to changes in ye by a factor of dyemult (p 39).	
40	dyqmult	float	2.5	-	If iytsflag (p 67) \(\ge\) 1, increase the timestep sensitivity to changes in yq by a factor of dyqmult (p 40).	
41	yemin	float	0.02	-	No further changes in ye are allowed for ye \(&lt;\) yemin (p 41) :unit: mol/g.	
42	iwinsize	integer	10240750	-	Size of graphics window to be created in the form xxxxyyyy.	
43	hstatm	float	1.	-	Multiplier on the inertial terms in the momentum balance equation.	
44	lenqmax	integer	3000000	byte	Maximum length of a post-processor dump file.	
45	iwinloc	integer	0	-	Location of the top-left-hand corner of the graphics window relative to top-left corner of screen, given in the form xxxxyyyy.	
